staroplaninskilegendi_01_yovkov_0000|Старопланински легенди от Юрдан Йовков
staroplaninskilegendi_05_yovkov_0048|Скритите из къщите мъже навеждат очи. Жените плачат. И гледат ги как вървят из селото сами, как се изкачват към хармана и спират под зеленото знаме. Там сега черните фигури са събрани в плътни и стройни редове. Гологлави са.
staroplaninskilegendi_05_yovkov_0049|Мръчината на облаците свети златото от епатрахила на поп руска и когато вятърът позатихне, чуе се проточеният напев на молитва.
staroplaninskilegendi_05_yovkov_0050|Редовно, от къща в къща, през кумшолуци, през довари, новините се предаваха като пожица. Един турчин герловец дошел да продава брашно, бил убит. Всички турски цигани били затворени и щели да ги колят.
staroplaninskilegendi_05_yovkov_0051|Но ето че дойде най-лошият слух. Кайдутите ходили от къща в къща и изкарвали насила мъжете. Изплашените терзии и срачи потърсиха по-сигурни скривалища.
staroplaninskilegendi_05_yovkov_0052|Но любопитните очи на жените не се махнаха от разтрозите на портите.
staroplaninskilegendi_05_yovkov_0053|Тогава видяха Дяда Руся. Висок, снажен, с бяла коса. Трябва да е бързал, защото не беше сварил да опаше червения си пояс, а беше излязъл по вракозун.
staroplaninskilegendi_05_yovkov_0054|И беше весел, засмян, удръше се с ръце по мишниците, това му беше обичай, и си тънаникаше цъм-цъм-цъмънъм, цъм-ъм-цъмънъм.
staroplaninskilegendi_05_yovkov_0055|Някои жени се престрашиха и излязоха на портите.
staroplaninskilegendi_05_yovkov_0056|Христос възкресе хора, викаше им дядо Руси, за много години. Честито ви царство!
staroplaninskilegendi_05_yovkov_0057|И като се обръщаше и посочваше към Хармана, казваше – «Виждате ли ги, наша скери! Цъм-цъм-цъм-а-нъм! Цъм-цъм-цъм-а-нъм!»
staroplaninskilegendi_05_yovkov_0058|Изведнъж то избръчва вежди, лицето му потъмнява, размахва ръка и вика – «На оружие! На оружие!» И после пак – цъм-цъм-цъмънъм, цъм-цъм-цъмънъм.
staroplaninskilegendi_05_yovkov_0059|Никой не можеше да повярва, че това е дядо Руси, който с години наред беше си дрямал на пейката. Не вярваха да е пиян, мислиха го по-скоро за луд.
staroplaninskilegendi_05_yovkov_0060|А дядо Руси обиколи та и почти цялото село. Върна се след това на Хармана, радва се на момчетата, радва се на Милуша. По едно време той трепна, разбра, че има още работа.
staroplaninskilegendi_05_yovkov_0061|След като беше обадил новината на своето село, трябваше да я обади и на съседните села. И без да се бави, тъй както си беше повръх озун, грабна отнякъде един ямурлук и пое пътя през къра.
staroplaninskilegendi_05_yovkov_0062|Трябваше да го брули студеният вятър, трябваше селените, на които беше отишъл да каже Христос Възкресе и честито Ви царство, да го нахокат, да го заплашат, че ще го вържат и ще го дадат на заптиятата, за да дойде на себе си и да се оборави.
staroplaninskilegendi_05_yovkov_0063|Тогава той се повърна назад.
staroplaninskilegendi_05_yovkov_0064|Капнаха първите капки на съмнението в душата му, а пред очите му ставаше чудо. Ситният дъжд, който русеше от тая сутрин, беше се превърнал в лапавица, а сега валеше сняг.
staroplaninskilegendi_05_yovkov_0065|Защо е това време? Мислеше си Дядо Руси, какво ще стане с момчетата. И той бързаше към село, обгрнато от виелицата и от снега, който като бяла мрежа падаше върху полето и планините.
staroplaninskilegendi_05_yovkov_0066|Когато той влизаше от единия край на селото, четата излизаше от другия по влазио в път.
staroplaninskilegendi_05_yovkov_0067|Дядо Руси се спря и се загледа. Отпуснало се беше знамето. Черните фигури оморено се поклащаха и смъкаво спираха по баира.
staroplaninskilegendi_05_yovkov_0068|А над тях се тъмнееха кориите и заледени клони се люлеяха над побелялата земя.
staroplaninskilegendi_05_yovkov_0069|Скрисе знамето, скрисе и последният човек в мрака и в ялицата.
staroplaninskilegendi_05_yovkov_0070|Дядо Руси наведе глава и забърза към къщи.
staroplaninskilegendi_05_yovkov_0071|На другия ден той стоеше на пейката си и гледаше побелелия Балкан.
staroplaninskilegendi_05_yovkov_0072|От всякъде дебел сняк режеше очите. Бял сняк и зелени дървета. Той беше чудо невидено.
staroplaninskilegendi_05_yovkov_0073|Тя до Руси се загръщаше в шубата си, гледаше Балкана и очите му осякаш питаха, защо направи тъй? Какво ще стане с момчетата?
staroplaninskilegendi_05_yovkov_0074|А сега бяха най-тежките часове за селото. Откъм полето настъпваше царски аскер. Чорбаджиите бяха на крак. Дядо Нейко, бърдучката, най-умният и най-сладкодумният от чорбаджиите, беше изпратен да посрещне пашата, да му се поклони и да му каже, че селото не е виновно и че хайдутите се слезли от Балкана.
staroplaninskilegendi_05_yovkov_0075|Добромерецът почерне от хора като мръвуняк.
staroplaninskilegendi_05_yovkov_0076|Тампак бяха се спрели герловски уруци, навили големи челми на главите си, запасали въжа върху поясите си за яма.
staroplaninskilegendi_05_yovkov_0077|Но чорбаджиите се моляха на пашата, даваха мило за драго. И пашата одържа думата си, не пусна герловските уруци да ударя целото. Но те още стояха на Добромерица, черна и страховита паплач, сред белия сняг наоколо.
staroplaninskilegendi_05_yovkov_0078|Дядо Руси стоеше на пейката неподвижен, загледан пред себе си.
staroplaninskilegendi_05_yovkov_0079|Него беше ени за герловските турци, не искаше да знае за грижите на чорбаджиите. Той гледаше към Балкана, взираше се по урови и по пътеки, напрягаше слуха си да чуе дали сред тая зимна тихнина не ще пропукат някъде пушки.
staroplaninskilegendi_05_yovkov_0080|Зима през май, мислеше си. Лошо. Подирите ще ги изловят като зайци.
staroplaninskilegendi_05_yovkov_0081|Така стоеше той и на другия ден. Герловските турци бяха си отишли и на Добромерица, гдето бяха стояли, се чернееше голям кръг, като че там беше лежало някое стадо.
staroplaninskilegendi_05_yovkov_0082|Но страхът още тежеше на целото. Дядо Руси беше, може би, едничкият човек, който се решаваше да стои навън.
staroplaninskilegendi_05_yovkov_0083|Неочаквано откъм края на селото се зачу шум. Навдигна се, порасна и като буря нахло в селото.
staroplaninskilegendi_05_yovkov_0084|тъпани, провиквания, песни, а сред всичкото и провлечена и плачлива мелодия на зорли.
staroplaninskilegendi_05_yovkov_0085|Ето ги, показаха се на брадо.
staroplaninskilegendi_05_yovkov_0086|Напред конници, след тях наталази и наталази пешаци, и дълги върлини стърчат над тях и на върлините на бучени човешки глави.
staroplaninskilegendi_05_yovkov_0087|Дядо Руси сякаш изгуби свяст.
staroplaninskilegendi_05_yovkov_0088|Плачеха зорлите, гърмяха тъпаните. И ето, това вик ли беше или рев на глутница вълци? И пак тия сухи, страшни удари на тъпаните, всяка шоустар меч биеше в разселото, пищеше и святкаше сред слънцето и сред белината на снега.
staroplaninskilegendi_05_yovkov_0089|Като черна река Ордата потече из селото, стърчаха и се поклащаха страшните върлини.
staroplaninskilegendi_05_yovkov_0090|Дядо Руси отмести погледа си към Балкана. Очите му не виждаха нищо, ръцете му трепереха.
staroplaninskilegendi_05_yovkov_0091|Когато той погледна пак към конака, ордата баши-бозуци беше се спрела в кръг, а на Мегдана стърчаха забити върлините с главите. Зловещи и страховити фиданки сякаш бяха израснали из снега.
staroplaninskilegendi_05_yovkov_0092|Завикате Лалин, глас задавен от страх и болка, секи да върви да види главите и да каже не познава ли някого.
staroplaninskilegendi_05_yovkov_0093|Не отиде никой.
staroplaninskilegendi_05_yovkov_0094|Тогава тръгнаха за птия и заудриха по портите. Видяха дяда Руся на пейката и го замъкнаха. Приближи се той и стръпнал, пребледнял. Вдигна очи, видя главата на първата върлина. Позная. Земята заигра под краката му. Милуше, рече да извика, но думата замря на устните му. И преглътна сълзите си. Съвзе се. Мина покрай всичките върлини. Изгледа ги. Обърна се и
staroplaninskilegendi_05_yovkov_0095|— Познаваш ли ги? — попита пашата. — Не, Аго, не ги познавам. Никого не познавам.
staroplaninskilegendi_05_yovkov_0096|И той си тръгна към къщи, висок, снажен, а косите му се белеяха, както се белееше снигът по Балкана.
staroplaninskilegendi_05_yovkov_0097|гледаше пред себе си и мълчеше.
staroplaninskilegendi_05_yovkov_0098|Когато мина покрай дюкенчето на Милуша, сърцето му се сви.
staroplaninskilegendi_05_yovkov_0099|Черен гарван беше кацнал на сухия върх на тополата и грачеше, а долу, зад дъсчения плет, под ябълката някой гледаше през разтрозите към конака.
staroplaninskilegendi_05_yovkov_0100|А дядо Русичо гласа на люца. Ах, Божичко, то е! Милуш, милият Милуш!
staroplaninskilegendi_05_yovkov_0101|Дядо Руси чу това, но не трепна, не се обърна.
staroplaninskilegendi_05_yovkov_0102|Пак е пролет, пак се зеленеят поляните, Балканът е пак хубав.
staroplaninskilegendi_05_yovkov_0103|Дядо Руси седи на пейката и си мисли, защо беше всичко това.
staroplaninskilegendi_05_yovkov_0104|Затворено е дюкянчето на Милуша и чукът не чука. Вечер минава люца, когато се връща от чешмата. Издържано и тихо, като че само двамата трябва да чуят, казва – Добър вечер, дядо Руси. Дохажда при него и до Дованика. Една вечер, когато Балканът потъмня и над него светнаха звезди, той прошепна на дядо Руся.
staroplaninskilegendi_05_yovkov_0105|Дошел един големец сливен. Казала да приберат главите на момчетата, да не стоят в сметата и да ги погребат.
staroplaninskilegendi_05_yovkov_0106|И погребали ги в българските гробища. Вечерта някои жени рекли да отидат да запалят свещ. Не ги пуснали. Турили заптията да не пущат никого. А като мръкнало...
staroplaninskilegendi_05_yovkov_0107|Додова ни къснеше повече глъса си.
staroplaninskilegendi_05_yovkov_0108|А като мръкнало и станало темно, от небето се спуснали кандила, казаха ми го тято Розе, хората го видели с очите си, на всеки гроб по кандило, като звезди.
staroplaninskilegendi_05_yovkov_0109|Добър вечер, тя Дорусе! Обажда се, Люца.
staroplaninskilegendi_05_yovkov_0110|И дядо Руси сякаш чува как същият той е глас, но от Колешен и далечен вика – Милуш, милият Милуш.
staroplaninskilegendi_05_yovkov_0111|и глъхне все по-слабо и по-слабо, всяка шехото на гръмовец го повтаря до седем пъти подред.
staroplaninskilegendi_05_yovkov_0112|като че събуден от сън. Тополата, старата столетна топола, раздвижва листата си, разклаща вейките си и зашумява.
staroplaninskilegendi_05_yovkov_0113|Край на Юнашки глави
staroplaninskilegendi_06_yovkov_0000|Постолови воденици от Старопланински легенди на Йордан Йовков. Записано за LibriVox.org. Записът е обществено достояние.
staroplaninskilegendi_06_yovkov_0001|В това време дявола сътворил козата и като идал при Господя, оседлал пръча, комуто направил юзда от праз. От тогава до сега козите имат бради. Богомилска приказка
staroplaninskilegendi_06_yovkov_0002|Козите на Марина, Мартиновия син, често минаваха над постоловите воденици. Цялата гора тогава екваше от звънци. Имаше малки тучени звънци, които сякаш пееха. Имаше и големи, железни хлопки, които изрядко и тежко биеха като камбани. Понякога всички тия звънците и високо, и объркано зазвучаваха, че можеше да се помисли, че стадото подплашено от вълки или мечка стравница наваля надолу и ей сега ще се изсипе в разсъмитие.
staroplaninskilegendi_06_yovkov_0003|Тъй биваше винаги. Но една сутрин, когато слънцето току-що беше изгряло и русата още светеше по тревата и по листите на орехите, пред долната воденица се спря един голям черен пръч. Звънците се чуваха наблизо и не беше мъчно да се разбере, че той пръч се е отлъчил от мариновото стадо.
staroplaninskilegendi_06_yovkov_0004|Селените, които изнасяха и внасяха чували на горната воденица, го видяха, че стои на едно място, сякаш се бои да прекрачи черната сянка, която орехът хвърлеше на кръст в разполяната.
staroplaninskilegendi_06_yovkov_0005|След малко там видяха Женда. Тя стоеше да опръча, даваше му хляб на ръката си и се смееше.
staroplaninskilegendi_06_yovkov_0006|Покъсни излезе върбан.
staroplaninskilegendi_06_yovkov_0007|Като видя мъжа си, жен да си посмоти, остави пръча и от слънцето прими навсянката на ореха. Върбан не я забеляза, не видя и пръча. Първата негова работа беше да погледне към горната воденица и като видя, че там стояха разпрегнати коля, а при него нямаше никой, зависта заяде сърцето му като змия.
staroplaninskilegendi_06_yovkov_0008|Лицът му потъмня още повече и той се повърна към воденицата. Тогава видя пръча, чу звънците в гората и разбра, че оттам минават козите на Марина, Мартиновия син.
staroplaninskilegendi_06_yovkov_0009|Намразил беше върбан всички хора. Пръчът не му правеше никаква пакост, но гневът му избухна против него, грабна камък и го подгони. Пръчът направи малък кръг, размаха роги, като че заплашваше някого и се спря.
staroplaninskilegendi_06_yovkov_0010|Върбан не го погледна вече и влезе във воденицата.
staroplaninskilegendi_06_yovkov_0011|налегнаха го пак грежите му.
staroplaninskilegendi_06_yovkov_0012|Като че всички се наговорили да отиват все при онзи дъртак, помисли си той. Знаел бил да кове хубаво камъка и ситно брашно правил. Ако е да се кове камъка, и аз знам да го кува.
staroplaninskilegendi_06_yovkov_0013|Гневът му се разпалваше от самосебе си. Влезе в стаята и затърси чука си по полиците.
staroplaninskilegendi_06_yovkov_0014|А вън Женда пак беше помамила пръча и пак му даваше хляб на ръката си. Смееше се. Драгой беше и за да я видят и други, обръщаше се и поглеждаше към горната воденица. И не пръчът се боеше от нея, а тя от него. Подаваше му хляб с едната си ръка, цяла се дърпаше назад, извита надъга, готова всяка минута да избяга. Кой знай, може би Женда и никак да не се страхуваше, но тъй и се щеше да се покаже. Сокманът се изобваше върху коравата и с нъга.
staroplaninskilegendi_06_yovkov_0015|Когато и двете я плитки бяха отзад, овисваха до под коленете й като два черни смока.
staroplaninskilegendi_06_yovkov_0016|Върбан беше намерил чука си и замислено го глеждаше отгоре и отдолу, като беше се спрял сред воденицата. После остави чука и се залови да снема камъка, за да го кове. Кречеталото на горната воденица крещеше като лудо и го караше да бърза.
staroplaninskilegendi_06_yovkov_0017|Жен да влезе, взе бакарите и излезе, но върбан не я и погледна.
staroplaninskilegendi_06_yovkov_0018|Той преграбчи камъка с две ръце, като го подпираше на пояса си и го заснема.
staroplaninskilegendi_06_yovkov_0019|Тежък беше камъкът и трябваха силите на два, ама три ма души. Върбан за пъшка, жилите на шията му се издуха. Изведнъж нещо се обори зад него, той се обърна. На съндъка с житото стоеше пръчът, голям и черен.
staroplaninskilegendi_06_yovkov_0020|Гледа го с продълговатите си жълти очи, дъвчи, брадата му се люлее. Варбан му викна. Пръчът не се помръдна. Тогава Варбан освободи едната си ръка и посегна загребача, за да го захвърли. Изведнъж камъкът се отплесна. Свлече се надолу.
staroplaninskilegendi_06_yovkov_0021|Върбан нито можа да го възпре, нито можа да отбегне, и камъкът с всичката си тежест се строполи отгоре му.
staroplaninskilegendi_06_yovkov_0022|Не извика, не изохка. Лежеше на земята изопнат като мъртвец, камъкът притискаше краката му.
staroplaninskilegendi_06_yovkov_0023|Като на сън чу, че звъннаха бакъри, тръщнаха се на земята и се разляха.
staroplaninskilegendi_06_yovkov_0024|После се чу, че жен да вика. Минеха се сякаш цели часове. — Какво има булка? Какво стана? — загълчаха мъжки гласове. Осети, че го вдигнаха на ръце и го понесоха, като че го залюляха на люлка. Не го болеше никъде, но от колената надолу му беше леко, сякаш краката му ги нямаше.
staroplaninskilegendi_06_yovkov_0025|Се тъй лудо и припряно работеше горната воденица. Там беше останала само баба Анна, стопанката на дяда Ивана. Тя беше болна и не можеше да ходи, инак първа би се затичала.
staroplaninskilegendi_06_yovkov_0026|Времето й се стори безкрайно. Най-после мъжете излязоха от воденицата, гледаха в земята, лицата им бяха изплашени. Баба Анна нямаше защо да ги пита, не им каза нищо и когато идоедоха при нея. Пък и дядо Иван не бързаше и само след като изчука лулата си в стената разправи какво беше се случило.
staroplaninskilegendi_06_yovkov_0027|И тоя пръч, кой го дявол докара тука? А оная, оная хобосница какво прави? Избухна баба Ана. Коя? Женда, коя. Нали тя даваше хляп на пръча, не видях ли? Ехи ти, все с женда се залавиш. Какво е крива женда? Имало глава да пати и то и то. Знам аз, не съм сляпа. Току рекли върбан лош, върбан краде от житото. Лъжът. Дип добър си е върбан. Не може челяка да гледа как жена му се овива около всеки мъж и лош те е.
staroplaninskilegendi_06_yovkov_0028|Дядо Иван спокойно тъпчеше с пръз чебучката си. Лицето му се промени, веждите му се издигнаха и в очите му, напрашени с брашно като на воденичарски плъх, светна лука в опламъчи.
staroplaninskilegendi_06_yovkov_0029|"Слушай какво ще ти кажа, бабо"", каза той смигна с око населените. Сега сме едно и у нас има един здрав и един болен и у върбанови. Какво да правим, а? Аз ще река да се събере болен с болен и здрав със здрав. Ти върви при върбана, аз ще взем аженда."
staroplaninskilegendi_06_yovkov_0030|Селените се засмяха с глас и затупаха дяда Ивана по гърба. Баба Анна рече да каже нещо, но мъжете бяха влезли във воденицата. Сърдита, със стиснати устни, тя обърна пак очите си към долната воденица.
staroplaninskilegendi_06_yovkov_0031|Там нямаше никой. Само пръчът още ходеше наоколо, катреше се по плета на градината и смолеше листата на фиданките.
staroplaninskilegendi_06_yovkov_0032|На другия ден задрънчаха пак звънци из гората. Грееше слънце. Из въздуха се носеха паежи, не имах от цъфналите каваци.
staroplaninskilegendi_06_yovkov_0033|Когато звънците зазвъниха най-близо и най-високо, ето че се показа Марин, Мартиновият син.
staroplaninskilegendi_06_yovkov_0034|"Ах, Марине, Марине!"" Посрещна го баба Анна и заклати глава. Какво ще правиш сега, Марине?"
staroplaninskilegendi_06_yovkov_0035|"Изгубил съм един пръч"", каза Марин. Не сте ли го виждали? Ах, Марине, Марине, какво направи, Марине? Какво съм направил, ма?"
staroplaninskilegendi_06_yovkov_0036|Той беше цял изполин, с червено изпечено лице, краката му обвити с козени наколеници и приличаха на краката на някой звяр. Не разбираше какво му подмята баба Анна. Гледаше е безпомощно с сините си детски очи и глупаво се усмихваше. И пак запита за пръча. Тогава баба Анна му разказа какво беше се случило. Марин се загледа в земята. Замисля се и току тегляше с ръка то едина, то другия си му стак, и двата увиснали и избелели от слънцето.
staroplaninskilegendi_06_yovkov_0037|От вратата дядо Иван подаде бялата си глава. «Кого ще убиваш? Пръча ли? Да те уби тебе света сирница с големия тулум! Я аз се остави! Добитъка си е добитък, какво искаш от него?» «Не гоща аз, дядо Иване, не гоща!» Завика Марини сините му очи светнаха като челик. «Не ще таква стока! Ти знаеш ли какво ми прави той мене? Като че дявол влезе под кожата му, взе да се лъчи, да се губи, а когато е между козите та смушне, онази удари,
staroplaninskilegendi_06_yovkov_0038|Висок и попригрбен, Марин се заспуща надолу, като държеше на рамото дългата си дрянова гега. След него вървяха кучетата му.
staroplaninskilegendi_06_yovkov_0039|Пръчът беше се показал около градината, затова Марин тръгна на татък. Когато той е минал от въдната страна и по е по креплита, някой свирна зад него.
staroplaninskilegendi_06_yovkov_0040|Имаше в гората едно птиче, което изсвирваше тъй и стряскаше човека. Марин се обърна. Между лошките в градината стоеше Женда и се смееше.
staroplaninskilegendi_06_yovkov_0041|Тя беше само на няколко крачки от него, отвъд плита.
staroplaninskilegendi_06_yovkov_0042|– Ела, ела, Марине – рече тя. Марин се обърна. Беше още ядосан. – Де я пръча – каза той. – Още тукъще му свлека кожата. Баба Ана ми каза. – Какво ти каза? – Каза ми – зарад него, таквоз. Човека ти се премазал. Камъкът паднал отгоре му. – Нека, нека, Марине. Лошо ли е станало, мислиш? Този камък мене притискаше. Нека притиска сега него.
staroplaninskilegendi_06_yovkov_0043|Те изречат у вас пони съглас и без усмивка. Марини гледаше очуден.
staroplaninskilegendi_06_yovkov_0044|— Какво ме гледаш? Засмя се тя и отново светлина залиа очите й. Я ела! Ела тук, да видиш какво ще ти кажа! Ей го прелеза! Влез оттам!
staroplaninskilegendi_06_yovkov_0045|Марин послушай и дойде при нея. И други път беше я виждал, но сега му се стори съвсем друга. Нито черно, нито бяло беше лицето й, но румено, кръгло.
staroplaninskilegendi_06_yovkov_0046|А очите й, какви черни очи! Снагата й избиваше навън, всяка щеше да пръсне дрехите й.
staroplaninskilegendi_06_yovkov_0047|Марин забрави за пръча, гледаше я и не знаеше какво да каже.
staroplaninskilegendi_06_yovkov_0048|Знаеш ли какво ще ти кажа, Марине? Заговори Женда. От кога се каня да ти го кажа, ама ти не дохождаш. Чуй, Марине, да ми дадеш две-три кожички, ерешки, хубави кожички, черни, лъскави. Имам едно кюргче, за него ми трябват. Ейтай искам да ги туря. Гледай, Марине, ейтай!
staroplaninskilegendi_06_yovkov_0049|И за да покаже как щеше да тури кожичките, тя прекарваше двете си ръца от шията надолу на изпъкналите си гърди, като все стоеше под сянката на овошките поръсена със слънчеви петна.
staroplaninskilegendi_06_yovkov_0050|– Нали ще ми дадеш, Марине? – говореше женда и го гледаше право в очите.
staroplaninskilegendi_06_yovkov_0051|"Чакай! Ела насам, че она е вещица, пак гледа!"" Каза тя като погледна по посока на баба Анна. Какво ще види? Ама на, само да има какво да приказва! Ела, ела насам!"
staroplaninskilegendi_06_yovkov_0052|Тя вървеше между овошките и фиданките зад нишком. Ръченикът ѝ беше се изхлузил и косата ѝ беше бухнала. Водеше след себе си Марина и гледаше вече не в лицето му, а някак над него. И шепнеше, «Нали ще ми дадеш Марине кожичките? Ще ти дам, колкото искаш ще ти дам!»
staroplaninskilegendi_06_yovkov_0053|Той също шепнеше. Гласът му се стори пресипнал и чущ.
staroplaninskilegendi_06_yovkov_0054|Колкото и да заничеше, баба Анна не можа да види къде си изгубиха изовошките на градината Марин и Женда. Видя ги когато приказваха, той от сам, тя отвъд плета. Видя ги и в градината, но после ги изгуби. Малко по-късно видя Марина на чешмата. Той пи вода, изтри се с ръкава си, като че забравил ръката на устата си, загледа се към воденицата. Весел, но някако чуден и изненадан. Около воденицата ходеше пръчът, но Марин нито го погледна.
staroplaninskilegendi_06_yovkov_0055|След като пи още веднъж и два жвода, той метна на рамо гегата си, изплодирен от кучетата си, тръгна нагоре към габара, където едвам се дочуваха звънците на козите му.
staroplaninskilegendi_06_yovkov_0056|Една до друга бяха постоловите воденици. Един и същи човек, някой си постол, когато бяха забравили вече, беше ги правил някога, но орисията им не беше същата. Едната работеше ден и ноще, бухтеше колелото й. Водата се плискаше и шумеше. Цялата воденица се тресеше като че ще се пръсне. Другата мълчеше. Водата се разливаше настрана. Корубистиято лук съхнеше и се пукаше.
staroplaninskilegendi_06_yovkov_0057|А Жен да не се спираше на едно място, ако не беше в градината, отиваше на чешмата, понякога пък грабваше хурката, подпасваше я на пояса си и тръгваше през поляните, върви и преде. Роменее си лицето и сред жегата, очите й се тъмнеят, сякаш черни сливи, кога зреят на слънце, висят отзад дългите и плитки.
staroplaninskilegendi_06_yovkov_0058|Отдалеч личиче се подсмива и сякаш не предея разсуква нишки след себе си, отдето помине, плете мрежи като паежина.
staroplaninskilegendi_06_yovkov_0059|Баба Ана я гледа и клати глава. Примки е турила навсеки пъти пътека, мисли си тя. Магия е наляла в чешмата, чума да я тръшни.
staroplaninskilegendi_06_yovkov_0060|Всичко се обърна на опъки. И по-рано минаваха пътници, отбиваха се на чешмата, но щом пиеха вода, тръгваха пак по работата си. Сега който пиеше вода, не бързаше да си ходи. Бавяха се търговци, джелепи и бегликчии. Изъжаваха се под сенгите, протягаха се, ходеха замаяни като слънчасали и тук поглеждаха под дириженда.
staroplaninskilegendi_06_yovkov_0061|Изведнъж гората екваше от звънци и като змей, донесен от Вихрушка, появяваше се Марин. Той отива право при Женда. Тя му приказва, смее се, но Козарят отвръща по тъмнялото си лице и поглежда пътниците.
staroplaninskilegendi_06_yovkov_0062|Погледите му тежат като камъни. Някои се досещат и си тръгват, други се бавят, пият на чешмята без да са жадни. И тогава Марин налита на тях.
staroplaninskilegendi_06_yovkov_0063|Тук не е беглишки, че и да си пасете кунети, вика им той. И ни имаме добитък, тревата трябва и на нас.
staroplaninskilegendi_06_yovkov_0064|И той размахва гегата си, ръкавите му се свличат и показват жилистите му ръце, под късия му кожух обърнат с козината навън лъсват пищови и ножове, набучени в селяха му.
staroplaninskilegendi_06_yovkov_0065|Не струваше да се заяда човек с тоя едър, полудив козар с широки плещи и увиснили мустаци.
staroplaninskilegendi_06_yovkov_0066|и бекликчеите на пети хора с сърмени джебкени и потури от синя чоха отстъпяха.
staroplaninskilegendi_06_yovkov_0067|Разкопчаваха букаите на конете си, качаха си, като поглеждаха още веднъж към Женда, заминаваха си.
staroplaninskilegendi_06_yovkov_0068|Веднъж минаваха кирвънджии. Случи се, че тъкмо тогава зад планината се беше повдигнал тъмен облък, святкаше се и прогърмяваше.
staroplaninskilegendi_06_yovkov_0069|Но когато колята на керванджиите се заспущаха надолу из урвата при Белия сипей, не можеше вече да се разбере дали на небето гърмеше или гърмяха колялата на кервана. Опъваха се назад големите биволи, размахваха извитите си рога, керванджиите викаха. Извисеви хрушка и повдигна прах от една крайна кервана до другия. Бурета и тъмният облак се изместиха назад. По-страшен изглеждаше сега керванът, който идеше.
staroplaninskilegendi_06_yovkov_0070|Като навалиха по урвата и минаха на срещната страна, колята бавно се проточиха в дълга върволица. Спряха се до водениците. Поляната се изпълни с коля и с биволи. Капнаха само няколко капки. Облакът отмина. Припече слънце и стана още по-горещо. Херванджиите грабнаха котли и заплискаха с вода биволите. После откачиха катраниците и се заловиха да мажат колята си.
staroplaninskilegendi_06_yovkov_0071|Показа се Женда. Тя отиваше на чешмата, пазеше си и бягаше то от един, то от други бивол. Кирвънджиите пуснаха катраниците и се загледаха. Женда наля вода, после пак се върна. Тогава кирвънджиите грабнаха големите си бъкили и се натрупаха на чешмата. Загълчаха, засмяха се. Между големите кълпаци и сивия би, мяркаха се белите ръкави и синия цукман на Женда. Понякога се виждаха и плитките й, разиграни два червена.
staroplaninskilegendi_06_yovkov_0072|Баба Ана гледаше от воденицата и когато дядо Иван дойде към нея, каза му.
staroplaninskilegendi_06_yovkov_0073|И от тия ще остане някой, отде знаеш. Има един да пие час по час на чешмата, без да му е жедно. Той ще остане, ще видиш.
staroplaninskilegendi_06_yovkov_0074|И наистина, когато след малко керванът потегли, една кола, колата, която вървеше най-напред и имаше най-ядри и най-силни биволи, изведнъж се наведе на една страна, колелото изхвъркна, остъза ора в земята и се счупи.
staroplaninskilegendi_06_yovkov_0075|Насъбраха се кирвънджиите, започесваха се под кълпаците, загълчаха. После тръгнаха.
staroplaninskilegendi_06_yovkov_0076|Остана само с чупената кола. Керванджията извади брадва и започна да дяла. Дялаше, но отвъртя не бързаше и все се поподсмиваше.
staroplaninskilegendi_06_yovkov_0077|На другия ден той пак дялаше, а до него стоеше Женда. Баба Анна погледна към гората. Не се чуваха звънци. Марин не се виждаше. Дълго време тя гледа тукъм колата, тукъм габара. Слънцето припече, стопли се и тя задряма.
staroplaninskilegendi_06_yovkov_0078|Затропаха чехли наблизо и тя се събуди. Пред нея стоеше Женда. Баба Анна не можа да я познае. Набелисала се и си начервила, изписала вежди като кадъна. Перо с златен варак трептеше на главата ѝ, на гушата ѝ имаше гердан от Ален Мерджан, на ръцете ѝ дрънчаха гривни. Очите ѝ светеха. Смееше се.
