zhetvariat_01_yovkov_0000|ЖЕТВАРЕТ ГЛАВА ПЪРВА
zhetvariat_14_yovkov_0032|Настъпи напрегнато мълчение, което никой не се решаваше да наруши.
zhetvariat_14_yovkov_0033|Радулов беше се обърнал към стената и още разглеждаше някаква литография, но всъщност искаше да скрия усмивката си от поп Доча. Той си мислеше, че вместо него по-добре е да говори сега тачката. А той вече беше взел на очи попа.
zhetvariat_14_yovkov_0034|Обете вече, каза той на излизане. Трябва да си ходим. Прощавайте. Радулов високо се засмя след него. За какво погребение говориш и ти? Обърна се той към тачката. Чака и човекът е жив, не е умрял още.
zhetvariat_14_yovkov_0035|Нищо от Туидаскале. Отвърнатачката и Лукаво подмигна. Ние сме добри хора. Отрано искаме да се погрежим за всичко.
zhetvariat_14_yovkov_0036|Избяга чернокапецът, заговори Радулов. Не го сдържа. Лъжци и лицемери. Такива са те всичките. Дружество основават, говорят все за добро, за справедливост, за човещина. А ето им делата. Окото им все в чуждото. Вълчан, Дуков и човещина. Икона подарява, венци подарява, на човека и ризата от гръба му ще вземе. Попът и той такъв. Всяко подаяние е приятно на Бога. На кой Бог?
zhetvariat_14_yovkov_0037|Радулов искрено се вълнуваше, мъчно му беше и за Гроздана. Той взе стол и седна при него. — Че как стана всичко това, Гроздане? — запита го той. — Я разкажи.
zhetvariat_14_yovkov_0038|Грозда нетърпеливо и неревно махна срака.
zhetvariat_14_yovkov_0039|Остави да, Скъле! Остави! Друг път ще ти разкажа.
zhetvariat_14_yovkov_0040|Той беше сложил ръце върху масата и замислено гледаше пред себе си.
zhetvariat_14_yovkov_0041|В кръчмата влизаха един след други селени. От пръв поглед още те разбираха какво има и плахо поглеждаха гроздана.
zhetvariat_14_yovkov_0042|Едни постояваха много малко и се излизаха, те добре познаваха гроздана и се бояха, че гневът му съвсем неочаквано може да се излей върху тях. Други пък, по-решителни и по-любопитни оставаха, сядаха настрана и с най-равнодушен тон почваха да говорят за времето и за горещините.
zhetvariat_14_yovkov_0043|Ако дойде Вълчан, мислиха си в същото време те, той ще го убие.
zhetvariat_14_yovkov_0044|Радулов незабелязано излезе. Вън той се поспря пред моста, през който друг път минаваше и като поймаше направо през Баири отиваше в Загорци.
zhetvariat_14_yovkov_0045|Сега той постоя малко загледа в тая посока, позамисли се и бавно тръгна към училището.
zhetvariat_14_yovkov_0046|Гроздан не забеляза отсъствието му, както не забеляза и отсъствието на Поп Доча.
zhetvariat_14_yovkov_0047|Той не обръщаше внимание на никого и на нищо. Тачката беше почнал да ругая вълчана, Гроздан не слушаше и него, но твърде начесто той поемаше чашата сия и спиваше наведнъж и до капка. След това скръстваше пак ръце в размасата и гледаше пред себе си замислено и мрачно.
zhetvariat_14_yovkov_0048|Влезе Рамаданов, фелчърът от Армутлии, и наедно с него полъхна ведрена и веселие. Нисичък, пълен и червен като ябълка, фелчърът изглеждаше доволен от себе си, от здравето си, като че искаше да каже на всички, «Я ще и пиете като мене и не бойте се от никакви болести».
zhetvariat_14_yovkov_0049|От джегата той беше станал още по-червен, бържеше под тъзи и пъшкаше. Кънь от отърча изложи на масата от преди му шишенце рекия, нарочно изтудена за него.
zhetvariat_14_yovkov_0050|Голяма жега, бре и... Вайкаше се фелчират.
zhetvariat_14_yovkov_0051|Рамаданов гълташе чашка след чашка, успокояваше се и се развеселяваше. Момчето на къня пърлеше пили на огъня, обид за фелчера.
zhetvariat_14_yovkov_0052|Ха така, момченце! Следеше работата му Рамаданов. Опарли го добре. После, знаеш я, няма да го правиш на яхния. Яхния аз не ща, ами ще го поприпържиш те и с малко масълце. Знаеш я? Къньо! Извика той като показваше към селените. Какво са се умълчали тия хора? Дай им по един вестник. Дай им и по една вода от мене.
zhetvariat_14_yovkov_0053|В добродушната му веселост нямаше нищо лошо, но тя дразнеше неприятно и можеше да изкара някого от търпение, особено като е ядосен.
zhetvariat_14_yovkov_0054|Къньо дойде при Рамаданов и нещо му пришепна. Рамаданов погледна към Груздана. Осмивката му се прибра и очите му плахо загледаха.
zhetvariat_14_yovkov_0055|Тъй като обедът щеше да закъснее, Рамаданов викна на кехаята да го води при бълните, който още не беше пригледал.
zhetvariat_14_yovkov_0056|Ядо Петър коконата бутна назад кълпака си, сви безбройните бръчки на лицето си и се замисли. Болни имаше още, но кои бяха? Той не можеше да си припомни нито един.
zhetvariat_14_yovkov_0057|— Е, казвай де! — скара му се Рамаданов. — Где има болни? — Чакай, господин докторе, чакай да помисля.
zhetvariat_14_yovkov_0058|Гроздан стана и си приближи до Фелчера. «Докторе», каза той, «дайде му дома. Болно дете имам».
zhetvariat_14_yovkov_0059|Рамаданов имаше обичай да нахоква селените за гдето крият болните си, но на Гроздана нищо не каза. Той стана, взе джандата си и каза, болно дете ли имаш? Да вървим тогаз.
zhetvariat_14_yovkov_0060|Изпътя той беше всетаи внимателен и любезен. Говореше за големите горещини, за болестите, които все повече се разгарят, защото никой не искал и не знаел как да се пази.
zhetvariat_14_yovkov_0061|Бях у стария поп, говореше той. У поп Стефана. Един болен старец прегледах там. Што за човек е той? Иконописец бил, казват. Отгде е той? Оттука е, отвърна Гроздан. Оттука е, но живее в града. Много ли е болен? Много. 40 градуса температура има. Мята се, къса дрехите си, бълнува. Ей го вика. Господи Исусе Христе, утешителю!
zhetvariat_14_yovkov_0062|Нямаше ни порта, ни вратник.
zhetvariat_14_yovkov_0063|влязоха направо през един прелез на съборената ограда.
zhetvariat_14_yovkov_0064|Край на глава 14-та
zhetvariat_14_yovkov_0065|Този запис е обществено достояние.
zhetvariat_15_yovkov_0000|ЖИТВАРЕТ. Глава 15.
zhetvariat_15_yovkov_0001|записано за LibriVox.org
zhetvariat_15_yovkov_0002|Жетварят.
zhetvariat_15_yovkov_0003|Повест от Юрдан Йовков, глава 15-та
zhetvariat_15_yovkov_0004|Широкията двор глъхнеше в трева и бурен, хъщата беше схлупена, низка и разкривена. Не се виждаше ни кола, ни плуг, ни каквото и да било земледелско урадие. Вратите на обора зеяха и лесно можеше да се познае, че в него добитък от колен е влизал, там беше пращно и замръсено с перушина. Една брадва лежеше захвърлена сред двора до изпосечен и оглозган като съз зъб и дървосек. Дърва нямаше.
zhetvariat_15_yovkov_0005|Нямаше и както в други дворища, висока купня с тезек. Напуснато и занемарено изглеждаше всичко. Само в един от странен кат можеха да се познаят следите на работна ръка. Там беше завардена стрънен плет, малка градинка. Имаше няколко овошки в нея, купчи на цветя и няколко лехи с зеленчук.
zhetvariat_15_yovkov_0006|Къщата също беше грижливо измазана, но всичко това малко изменяше безотечния вид и голямата беднотия наоколо. Едно мръшево куче се надигне из сянката на оградата и се накани да залая, но веднага пак лениво се отпусне и заследи само с очи чуждите хора, които влизаха.
zhetvariat_15_yovkov_0007|Предвождани от Гроздана, Фелчърът и след него Дядо Петър влязоха в хаетя. Две жени бързо и почтително се изправиха, щом ги видяха. Едната беше Петра, другата баба Ангелина, която между другите си изкуства знаеше и да бае.
zhetvariat_15_yovkov_0008|Рамаданов не беше разположен сега да се кара с старата знахарка. Мина крез жените и се приближи до болното. То беше 8-9 годишно момченце с изпито и бледно лице, с избистрени сини очи, които гледаха мечтателно и скръбно. Тежко халище го завиваше чак до гърдите и върху него бяха отпуснати ръцете му, слаби и отанели.
zhetvariat_15_yovkov_0009|Рамаданов почна внимателно прегледа си. Той обичаше своята професия, гордееше с дългата си практика и сред най-опасните болести работеше безстрашно и усърдно.
zhetvariat_15_yovkov_0010|Той ставаше тогава груб, придричив, нетърпим почти. Но сега фелчерът изглеждаше съвсем друг, любезен, внимателен и кротък. За него не беше трудно да разбере, че нещастието е свило гнездото си в тая къща и болестта на това дете не е нито първата, нито последната неволя тука. Той искаше да помогне колкото може, слушаше внимателно обясненията на Петра, разпитваше малкия и между въпросите си премесваше и някоя галена дума.
zhetvariat_15_yovkov_0011|Накрая той остави прахове и други лекарства, обясни и как ще трябва да се дават. Детето имаше обикновена треска и никаква опасност нямаше. Но Рамаданов виждаше, че в безпокойствието на майката Рида е съвсем друга, голяма и скрита мъка.
zhetvariat_15_yovkov_0012|Честният и добродушен човек се трогна и за да изкаже някак съчувствието си, повтаряше и потретваше наставлението си.
zhetvariat_15_yovkov_0013|Гроздан стоеше настрана, мълчелив и навъсен. Рамаданов ни веднъж не се обърна към него. Баба Ангелина беше издебнала с годно време и беше си отишла.
zhetvariat_15_yovkov_0014|Рамаданов тръгна да си ходи. Въпреки всички настоявания на Груздана, той отказа да вземе пари.
zhetvariat_15_yovkov_0015|Петра донес едно пиле, подаде го на кихаята и то веднага замлъкна като удушено в коравите му и на очени пръсти.
zhetvariat_15_yovkov_0016|Рамаданов се престори, че не вижда, каза още няколко думи и си замина.
zhetvariat_15_yovkov_0017|Гроздани Петро останаха сами.
zhetvariat_15_yovkov_0018|Нещо тежко и безнадежно изпълни сякаш изведнъж къщата, гнетеше ги и ги отчуждаваше един от други. Петър промени лице, мълчеше и ходеше из къщи с потопени в земята очи.
zhetvariat_15_yovkov_0019|Гроздан също не намираше какво да каже. Сложиха да ядат.
zhetvariat_15_yovkov_0020|Петра почти нищо не хапна, беше скръстила ръце на коленете си, гледаше занесено пред себе си и от време на време изтежко въздишеше. Гроздан беше й казал, че е изгубил делото, че Вълчан взема нивите им. Но той беше казал това както всякога, средито й с няколко думи само. А тя искаше да знае всичко. Чувстваше, че беше дошло време да се говори открито и ясно. Но Гроздан мълчеше.
zhetvariat_15_yovkov_0021|Докато Петра прибираше суфрата, той влезе в другата стая. Разхождаше се и липак се спираше и разсеено гледаше овехтелите и бледи окрашения по стените.
zhetvariat_15_yovkov_0022|Имаше в един агъл дървен иконостас и пред него малко кандила от синкаво стъкло. По настрана се рядяха няколко избелели щампи и между тях една житварска брада, изсплетена от класове. Една рекламна афиша на житварките – Мак Кормик – беше закована там още от времето на Дядо Добре.
zhetvariat_15_yovkov_0023|На нея се виждаше озряло, житно поле и червено бойди се на житварка, теглена от великолепни коне.
zhetvariat_15_yovkov_0024|От колишни мили спомени идеха от всички тие вектории.
zhetvariat_15_yovkov_0025|Влезе Петре и недоволна и очудено погледна към Груздана.
zhetvariat_15_yovkov_0026|"Не знае какво ще правим с това дете"", каза тя. Цяла нощ не е спало, не затвори очи, не се оръха ти. Ще му мине, равнодушно отговори Гроздан. Докторът нали каза, треска е. Не знам, какви не сънища съм сънувала нощтес, и той проклетото куче цяла нощ е вило. Вие за главата си, куче кога вие или ще побеснее, или ще умре."
zhetvariat_15_yovkov_0027|Гроздан говореше без да се обръща, все още загледан към стената.
zhetvariat_15_yovkov_0028|Спокойствието му разсърди Петра и тя изведнъж избухна. «Ама не мога вече!» – извика тя. «Не се търпи вече! Не мога! Не!» Роздан се възви и очудено е погледна. «Какво не можеш? Какво има?» «Какво има? Нищо няма! Все нищо няма! А поглежда ли ме някой? Пита ли ме някой? Сътворила съм се в къщи като куковица. Може ли тъй? Явиш хората, всеки си има добитък, работи си, а ни...» Гладна и жедна ли си останала?
zhetvariat_15_yovkov_0029|Ама ти не знаеш какво приказват хората. Срам ме е да изляза, срам ме е да погледна някога в очите. Боже, той ли ми било урисано, той ли? Те не можеше да говори повече. Разплака се и скри лицето си в натрупаните до стената дрехи.
zhetvariat_15_yovkov_0030|"Какво приказват хората не искам да зная"", каза натъртено гроздан. А от де вземам, де давам, зато и не искам да ме питаш. Ще си седиш вкъщи и толкоз."
zhetvariat_15_yovkov_0031|Той излезе, мина в хаята и тък му щеше да прекрачи прага. Обърна се и си вслуша.
zhetvariat_15_yovkov_0032|Вътре плачеше Петра. Плачеше стоя напевен и безотешен плач на жените, който тъй непоносимо измъчва.
zhetvariat_15_yovkov_0033|Гроздан поиска да се повърне и до сън още повече, но погледът му се спря върху болното. Детето се подигна, обърна големите си очи към собата. Бледното му лице се набърчи от болка. «Мамо!» – разплака се то. «Мамо!»
zhetvariat_15_yovkov_0034|Гроздан излезе на двора. Една минута постоял загледан пред себе си, стъп и невиждащ поглед. Боря се надигаше в душата му, мислите му се объркваха и късаха, кръв нахлуваше в главата му и като счук биеше в слепите му очи.
zhetvariat_15_yovkov_0035|Беше горещо. Задушни вълни като че изпещ полъхваха към него. Той премина из двора, прехвърли се в градината и като подкосен се тръшна под сянката на увошките.
zhetvariat_15_yovkov_0036|Веднага той пак се изправи, погледна към къщи и се всуша.
zhetvariat_15_yovkov_0037|Плачът на Петре беше престанал вече.
zhetvariat_15_yovkov_0038|Гроздан се отпусна, полегна на едната си ръка и се замисли.
zhetvariat_15_yovkov_0039|Не за първи път той имаше такива спречквания с жена си. Чувстваше се виновен и за гробостта си се всякога разкаебаше. В обреците и в оплакванията на Петра нищо друго нямаше, освен истина. В тях се обаждаше и заговорваше собствената му съвест.
zhetvariat_15_yovkov_0040|Но тък му тоя глас той искаше да задуши, да не го чува, да избяга от него. Късно е вече. Неодържимо истрем главо той отива право в пропаста. Не иди ни да се отбие, ни да се спре.
zhetvariat_15_yovkov_0041|Защо тогава да се измъчва на празно? Защо да мисли? По-хубаво и по-легко е да върви тъй с затворени очи и да става каквото ще.
zhetvariat_15_yovkov_0042|Най-после не той беше виновен за всичко това.
zhetvariat_15_yovkov_0043|Из улицата се зачуха гласове. Минаваха четър работници. Те бяха вседели урмански турци, високи и снажни колоси, които напускаха вече бедните си села и слизаха да търсят работа по големите чифлици из Добруджа. Едни от тях носиха коси, други бяха прехвърлили турбите и ямурлוצите си на рамо, сърпове и паламарки бяха подпасани в поясите им. Лятната работа почваше вече за тях.
zhetvariat_15_yovkov_0044|Най-напред те ще са да почнат с прекопаването на кукурузите, после ще ще да дойде си на косът и неосетно и веднага след него жетвата. А тук те са вече в стихията си. Дванайсет, дори девет души са достатъчни да вървят подиредна машина. Може нивата да е много висока и гъста, може конете да са силни и жетварката бързо да застила земята с ръкойки. Тях нищо ги не плаши. Никой няма тяхната сила и никой по-добре не умее от тях да пристягне.
zhetvariat_15_yovkov_0045|Дълго време Гроздан гледа след турците. Едрите им фигури тежко се полюляваха в разкъсена и дълга върволица, като на ято жерави. Някоя коса проблясваше на слънцето, или пък едва-медвам долиташе от къслек от провлечена и страстна ориенталска песен.
zhetvariat_15_yovkov_0046|Един по един те превалиха от тата к хоризонта.
zhetvariat_15_yovkov_0047|Тежък труд очакваше тия хора. Немилостиваща ще да ги гори слънцето. Яките им тела ще са да се къпят в под, мускулите им ще са да се обтегнат до скъсване. Но срещу това теглоте отиваха радостно и с песни. И наистина, има нещо хубаво и сладко в труда. Това е от нашко доволство, което познават само здравите, силни и работни хора.
zhetvariat_15_yovkov_0048|Това отколено и изпитено чувство изведнъж обхвана Гроздана. Той се поисправи. Очите му се оживиха. От цялото му тело преминаха бодри и сладостни тръпки.
zhetvariat_15_yovkov_0049|В жилите му обликаше сила, ръцете му искаха коса или сърб, но той порив изведнъж угасна.
zhetvariat_15_yovkov_0050|Нищо не го зовеше и нищо не го чакаше в полето.
zhetvariat_15_yovkov_0051|Тая година той нищо не беше сял. Няма да се е и занапред. Той няма ниви вече. Нивите му са увълчана.
zhetvariat_15_yovkov_0052|Откато беше почнал да се съди за тия ниви, едвам сега грозда носе ти истинска болка за тях.
zhetvariat_15_yovkov_0053|Има беше възможно да му ги отнемат, да му вземат тия ниви, които са негови и само негови могат да бъдат.
zhetvariat_15_yovkov_0054|Те беше израснал на тях. Очите си да затвори, ще ги види тоз час, тъй както си са. Гънките на местността, пътищата, могилите до тях. Той знае пръста им, где е, каква е, чиста ли е или примесена с дребни камъчета. Знае цвета ий, знае вкуса ий дори.
zhetvariat_15_yovkov_0055|И младините, и животът му е преминал там. Той хубаво помни и коравите залъци, хапнати на бърза ръка през страшните горещини пожетва и тежеста на снопите, товарени рано сутрин, когато зорницата още не е изгряла.
zhetvariat_15_yovkov_0056|Тия ниви той ги е работил, знае само тях. Прекрачи ли си Нура им, съедно, че прекрачва прага на къщата си? Сред тях той е като у дома си. Кой може да му ги вземе? Защо? С какво право? Съедно да вземат да му отсекат една ръка, да му извадят едно око.
zhetvariat_15_yovkov_0057|Тие ниви могат да бъдат само негови. Как може да стъпи там чужд човек и да каже, те са мои? И кой може да бъде той? Вълчан ли?
zhetvariat_15_yovkov_0058|Мроздан стана и възбудено почна да се разхожда. Омраза и гняв закипяха в душата му, лицето му потъмня, очите му заиграха зловещи пламъци.
zhetvariat_15_yovkov_0059|Той не беше вече способен да мисли. Неотолима жажда за мъзд само изпълваше цялото му същество. Кипеше в жилите му, помрачаваше разсъдъка му.
zhetvariat_15_yovkov_0060|Ненавистният образ на вълчана не се махваше от очите му, дразнеше го и го подлодяваше. – Гад! Змия! – шепнеше Гроздан. – Ще те смажа! Ще те убия!
zhetvariat_15_yovkov_0061|Крайна глава, 15-а сета.
zhetvariat_15_yovkov_0062|Този запис е обществено достояние.
zhetvariat_16_yovkov_0000|Житварят глава 16
zhetvariat_16_yovkov_0001|Записано за LibriVox.org
zhetvariat_16_yovkov_0002|Житварят. Повест от Юрдан Йовков. Глава 16.
zhetvariat_16_yovkov_0003|Тиха и топла нощ обгръна селото. Прибра се и последната закъсняла кола, улиците опустяха, огаснаха и сетните прозорци. Почиваше всичко. Неподвижни и сънни, дърветата рисуваха върху ясното небе, черните си грамади и високо над тях, като едри алмази, грееха звезди.
zhetvariat_16_yovkov_0004|Покрай стрехите безшумно сновяха прилипи, светолки чертаяха огнените си знаци в мрака. В безмълвната тишина на нощта, напоена сляпна задуха, нищо друго не се чуваше, освен песента на щурците.
zhetvariat_16_yovkov_0005|Тия къси, сипкави и плахи звуци идеха отблизо, идеха отдалеч, сливаха се в безбройни струи, издигаха се нагоре, преплитаха се сякаш с лъчите на звездите и наедно с тях трептяха ритмично, монотонно, като че за спалата земя унесено и спокойно дишаше в съня си.
zhetvariat_16_yovkov_0006|На пръв поглед нищо не отличаваше тази нощ от другите. Но от към запад се подигаше гъст и черен мрак, мътна и широка сянка, която бавно застилаше небето на тая страна, гасеше една по една звездите, заличаваше очертанията на хоризонта.
zhetvariat_16_yovkov_0007|От време на време нататък проблясваха светкавици. Тогаз полето се откриваше надалеч, виждаха се и запалените краища на тъмни облаци.
zhetvariat_16_yovkov_0008|Отново падаше тъмната завеса на мрака. Минаваха няколко минути и след това глухо, като че изпод земята проечаваше гръм.
zhetvariat_16_yovkov_0009|Мина се тъй час, може би два. Нощта беше все тъй тиха и царствено спокойна. Само тъмната сянка на запад все повече и повече растеше.
zhetvariat_16_yovkov_0010|Изведнъж лег вятър разклати неподвижните до сега дървета, във въздуха се разтопи и разля преснота и хлад.
zhetvariat_16_yovkov_0011|Но в още по-силен вятър долетях, увожките се разлюляха и зашумяха. Подигна се прах, развяха се и загониха сламки и харти. Вятърат вече не преставаше. Някъде силно се затръшна врата. Неприбран някой кон бясно препускаше из улиците и цвилеше, чо се не чий вик, който веднага заглъх наудавен в шума на бурята.
zhetvariat_16_yovkov_0012|Светкавиците мятаха кратки блясъци, сякаш някой размахваше из нощта огнени мечове.
zhetvariat_16_yovkov_0013|съвсем близо, като че над самото село оглушително изтрещя грамотевица.
zhetvariat_16_yovkov_0014|Из дворищата и хармонлъците се зачуха гласове, тукта ме заблещукаха фенери. Хората бързаха да затворят дубитъка в оборите, прибираха едно друго под сушина.
zhetvariat_16_yovkov_0015|После всичко утихна, притаей си и зачак.
zhetvariat_16_yovkov_0016|боряте се усили.
zhetvariat_16_yovkov_0017|Появиха се сега по-низки облаци, гъсто напластени и черни като пожарен дим и подгонени бясно от вятъра, в един само миг обложиха цялото небе, затолиха всички звезди, угасиха и последния светъл лъч.
zhetvariat_16_yovkov_0018|Всичко се заличи изля в тежък и зловещ мрак.
zhetvariat_16_yovkov_0019|Започна се фееричната игра на светкавиците. Те се запалваха и трептяха непрекъснато, откриваха навъсеното и гневно лице на небето и в кратките им блясъци можеха да си видят плахо приведените треви, глухостенещите дървета, схлупените и смълчани къщи и наоколо безкрайната равнина на полето, вцепенено и глухо като пустиня.
zhetvariat_16_yovkov_0020|Нямаше вече отделни грамотевици. Боботеше непрекъснат гръм, оглошителен и страшен, като че огромни скали се рушаха и падаха в някоя пропаст.
zhetvariat_16_yovkov_0021|Ако святкавиците не го огряваха, можеше да се помисли, че селото повече не съществува. Жива душа не се виждаше никъде. Но из улицата, която водеше към къщата на Вълчана, вървяха двама души.
zhetvariat_16_yovkov_0022|Стъпките им не се чуваха, не ги лаяха псетата, самите те се виждаха само когато блясваше някоя светкавица.
zhetvariat_16_yovkov_0023|На главите им имаше качулки, вятърът развяваше полите на ямурлуците им. Пред тях светкавиците затрептяха по-висока каменна ограда, която се стори още по-бяла изпод тъмния гъсталак на овошките.
zhetvariat_16_yovkov_0024|Двамата души се спряха и предпъзливо се затолиха крео градата.
zhetvariat_16_yovkov_0025|Тя бяха груздани тачката.
zhetvariat_16_yovkov_0026|Тачката се отдели безшумно, като че на пръсти потъна в мрака.
zhetvariat_16_yovkov_0027|Мина се тъй доста време. Гроздан почна неспокойно да се озърта, при всяко блясване на светкавиците се взираше и се мъчеше да сезре някъде тачката.
zhetvariat_16_yovkov_0028|Най-после той нечака, но се показа съвсем от друга страна и все тъй тихо и неогадешката застана претюрдана. Е, как е? Прошепна гроздани си наведе към него, за да го чуе. Пак вардят. Недоволно отвърна тачката. И тази вечер нищо не ще може. Три мъса. Три мали? Три мъса. Единия го видях, че се разхожда из двора, друг се покашля към къщи, а една цигара светна към хамбаря. Пазят.
zhetvariat_16_yovkov_0029|Цигарата, за която говореше тачката отново заближтука в мрака. Чу се слуха старишка кашлица. Гроздан трепни, вторачено се зауглежда нататък.
zhetvariat_16_yovkov_0030|Ей го! Гневно и задъхано зашепна той. Насам иде. Той е! Той е, нали? Ах, чакай! Сега! Сега!
zhetvariat_16_yovkov_0031|Една светкавица блесна и освити за миг всичко наоколо. Прелепен и снишен до оградата, Гроздан надничаше в двора, лицето му беше напрегнато и навъсено, ръката му се протягаше назад и неравно пипаше за дръжката револвера, запаса на кръста му. Никакво съмнение не оставаше върху това, което той се готвеше да прави.
zhetvariat_16_yovkov_0032|Светкавицата скоро угасна, но тачката беше сварил вече да хване ръката на гроздана и да го спре.
zhetvariat_16_yovkov_0033|Остави, остави! Кихумо заговори той. Ела насам, ще ни усетят. Не е той, не! Луд ли е вълчан да ходи по това време из двора? Някой от чираците ще да е. Ела, ела насам. Друг път ще си видим сметките с него, нали виждаш? Сега нищо не можем направи. Пазят!
zhetvariat_16_yovkov_0034|и двамата замълчеха. Бурята си осили, клоните на дърветата зашумяха и се зачупиха над главите им. Редки и тежки капки заудреха в земята като куршуми.
zhetvariat_16_yovkov_0035|— Да си ходим тогаз, каза Гроздан. — Да си ходим ли? Защо? Да идем бърем оттатък! Прошепна тачката. — Къде да идем? — В черквата. И тъй сме дошли. — Върви, върви да си ходим. — Ама сега му е времето! Гроздан се обърна и се накани да си отива. — Чакайте! — Зашепна тачката. — Али ще идем? — Не искам. Ако и черквите почнем да обираме,
zhetvariat_16_yovkov_0036|Тачката пристъпи още поблизо до гроздана и почти прелепи лицето си до неговото. — Слушай, бе, човече! И умолително, и гневно зашепна той. Не ставай, дете! За какви черкви ми приказваш, не се ли разбрахме? Ще вземем само Венеца, ще вземем златото на Вълчана и то и то!
zhetvariat_16_yovkov_0037|Гроздан мълчеше.
zhetvariat_16_yovkov_0038|Върви, върви! шепнеше тачката. Стига се е хвалил той е изедник, лъжа хората, лъжа и бога. Ти ли ще го жалиш? Да вървим! Изведнъж се съгласи Гроздани, тръгна напред.
zhetvariat_16_yovkov_0039|Малвата за златния Венец и за баснословната му стойност не даваше мир на тачката. Споменът за някогашния обир на руския манастир беше разпалил всичката му стръв и той беше решил по какъвто и да било начин да тури ръка на тая скъпоценност.
zhetvariat_16_yovkov_0040|Гроздан отблъсваше увещанията му и не се съгласяваше, но той беше готов да направи всичко, към което би готласнало мразата му към Вълчана. Тачката добре знаеше това и нарочно даваше такъв вид на работата, като че и за него по-важен беше ударът, който се готвеше срещу Вълчана, отколкото очакваната корист от кражбата. А това стигаше, за да го послуша Гроздан.
zhetvariat_16_yovkov_0041|Те дойдоха до черковната ограда и се спряха пред малката вратичка. Тачката се покачи на един съседен плет и оттам бързо се прехвърли в черковния двор.
zhetvariat_16_yovkov_0042|Вратичката се отвори, пусна гроздана и веднага се затвори след него.
zhetvariat_16_yovkov_0043|и двамата тръгнаха направо из високата трева. Блесна святкавица и откри бялата сграда на черквата и няколко стари гроба наоколо, над чието кръстове се разлюляваха низки хръстелаци.
zhetvariat_16_yovkov_0044|Борета като че оставаше отвън, а тук, между високите довари стоеше това глухо и тайнственно безмълвие, което царив необитаемите места.
zhetvariat_16_yovkov_0045|Изведнъж изтрещя оглошителна грамотевица. Гроздани тачката се спряха и в трепетния блясък на светкавиците плахо се загледаха един други.
zhetvariat_16_yovkov_0046|да ждат заваля по-силно.
zhetvariat_16_yovkov_0047|Остре меризма на бочиниш изпълни въздуха.
zhetvariat_16_yovkov_0048|Гроздани тачката минаха от към северната страна на черквата. Там дворът се издигаше и прозорците бяха ниско до земята.
zhetvariat_16_yovkov_0049|Тачката отрано беше се приготвил. Той извади тесто, завит оф една кърпа, залепи го на стъклото и натисна с ръка.
zhetvariat_16_yovkov_0050|Що се слаб покут, но ни едно парче не падне и не прозвънтя на земята.
zhetvariat_16_yovkov_0051|Но и тази предпъзливост беше излишна сред бесния вой на бурята.
zhetvariat_16_yovkov_0052|Тачката провря железния лост в тъмния зев на прозореца и се помъче да изкриви железните пръчки. Но той беше слаб, умори се скоро и нищо не може да направи.
zhetvariat_16_yovkov_0053|Роздан по елоста от ръцете му. За няколко минути само яките железни пръчки бяха изкъртени и прикривени нагоре. Открисе широка дубка, през която свободно можеше да се провре човек.
